run,source,ep_reward_mean,coverage_frac_mean,coverage_wtd_mean,redundancy_rate_mean,n_images_total_mean,idle_rate_mean,events_completed_mean,ep_reward_std,coverage_frac_std,coverage_wtd_std,redundancy_rate_std,n_images_total_std,idle_rate_std,events_completed_std
Priority x Coverage,baselines/results/baseline_priority_uncovered_20260605_160715.json,592.1133623129324,0.2755599244603658,0.29543985669206013,0.2709120194863997,576.85,0.27893749999999995,0.75,22.611645375773286,0.009894286663048906,0.01247674378223463,0.015343794299503404,4.901785389018984,0.006127231736273728,1.0897247358851685
MAPPO (best),plots/mappo_reactivity2_validation.json,597.3308344697592,0.2750289809358767,0.29495399999893257,0.2718016346804427,576.8,0.279,1.1,23.27775015337083,0.009837975168586756,0.012114406965228607,0.015846997971794046,4.770744176750625,0.005963430220938276,1.1357816691600549
IPPO (best),plots/ippo_reactivity2_validation.json,586.5118450339967,0.27093189668035755,0.2906174216174635,0.27129504922585995,567.9,0.29012499999999997,1.05,24.724543393181122,0.009361896151852652,0.01183756183277387,0.01533399935108727,5.078385570237849,0.006347981962797314,1.1608186766243898
Centralized Greedy,baselines/results/baseline_centralized_greedy_20260605_160719.json,523.6128633187192,0.19624260689147147,0.237965704485753,0.468217609424317,576.85,0.27893750000000006,0.65,16.08211837499525,0.008127161114819564,0.010051119728098946,0.016804193796223606,4.6289847699036555,0.0057862309623795665,0.7921489758877429
Priority,baselines/results/baseline_priority_20260605_160711.json,523.6683151879224,0.1961660372130641,0.2378564148682667,0.4681306529025779,576.85,0.27893750000000006,0.65,16.042539220591866,0.008063739735205803,0.009951861563954624,0.016810493368779832,4.6289847699036555,0.0057862309623795665,0.7921489758877429
Random,baselines/results/baseline_random_20260605_160707.json,314.0899434894387,0.11999303659486382,0.11987395251292436,0.24574641920621768,424.3,0.469625,0.15,31.74510340222218,0.011025237655331685,0.011678201854607714,0.015496012157830731,39.09744237159254,0.04887180296449068,0.3570714214271425
